raw_sector,source,mapped_sector,sector_code
kotakniftymnc,mc,,
kotakniftypsu,mc,,
kotaksensex,mc,,
kotaksilveret,mc,,
kotmidcap150,mc,,
kotmsciind,mc,,
kpigreen,mc,,
kpittech,mc,,
kpragrochem,mc,,
krishivalfoods,mc,,
krishnadefence,mc,,
kritikawires,mc,,
krmayurveda,mc,,
krrailengine,mc,,
kshitijpolylin,mc,,
kshitire,mc,,
kuberanglobal,mc,,
kumbhatfinser,mc,,
kundanedifice,mc,,
kushindustries,mc,,
kwalitywalls,mc,,
lagnamspintex,mc,,
landmarkglobal,mc,,
lastmileent,mc,,
latimpp,mc,,
laxmigoldorna,mc,,
leadreclaim,mc,,
leelapalaces,mc,,
legacymercanti,mc,,
leharfootwears,mc,,
lerthaifinance,mc,,
lexoraaind,mc,,
libasre,mc,,
licetfnifty50,mc,,
licetfsensex,mc,,
licgoldetf,mc,,
licgsecgo,mc,,
licgseclt,mc,,
licindia,mc,,
licnifty100,mc,,
licniftymid,mc,,
linaksmicro,mc,,
linc,mc,,
liotechindustr,mc,,
liquidbetf,mc,,
lodhadeveloper,mc,,
logica,mc,,
lohiasec,mc,,
longspurint,mc,,
lsnnsu,mc,,
ltfhre,mc,,
ltfinance,mc,,
ltfoods,mc,,
lttechnology,mc,,
luharukre,mc,,
macobstech,mc,,
madhavinfrapr,mc,,
madhubanconst,mc,,
madhyabharata,mc,,
magellanic,mc,,
magnusretail,mc,,
magnussteel,mc,,
mahalaxmifabri,mc,,
mahalaxmism,mc,,
mahaveerinfo,mc,,
mahealthcare,mc,,
mahindramanuli,mc,,
maitri,mc,,
man500502525,mc,,
mangalamalloys,mc,,
mangalamglobal,mc,,
mangalcredit,mc,,
manglaminfra,mc,,
manifbanketf,mc,,
manifitetf,mc,,
manilamindustr,mc,,
manojceramic,mc,,
manojvaibhavg,mc,,
mapleinfra,mc,,
marblecityind,mc,,
marcocables,mc,,
margtechnopro,mc,,
marineelectric,mc,,
markobre,mc,,
markobre1,mc,,
markolines,mc,,
markore,mc,,
marushikatechn,mc,,
marutiglobal,mc,,
marutiinfra,mc,,
maselectipo,mc,,
mastercompo,mc,,
maxestates,mc,,
maxgrowindia,mc,,
maxposure,mc,,
maxventuresan,mc,,
mblinfra,mc,,
md,mc,,
mediaoneglobal,mc,,
meganirman,mc,,
megasoftre,mc,,
megatherm,mc,,
mercuryevtech,mc,,
mermetlre,mc,,
merritronix,mc,,
mflindia,mc,,
mfsintercorp,mc,,
mideastintegra,mc,,
midselietetf,mc,,
midwestgold,mc,,
migmedianeuro,mc,,
mihikaind,mc,,
milgreyfinance,mc,,
millennium,mc,,
minalind,mc,,
mindpooltechno,mc,,
mindspacereit,mc,,
mipcoseamless,mc,,
mirae1drate,mc,,
miraeassetinv,mc,,
miraebse200ew,mc,,
miraebsesens,mc,,
miraedefence,mc,,
miraeenergy,mc,,
miraeevetf,mc,,
miraegoldetf,mc,,
miraehangseng,mc,,
miraeindiaetf,mc,,
miraeinfrlogi,mc,,
miraeliquid,mc,,
miraenifty100,mc,,
miraenifty50,mc,,
miraenifty813,mc,,
miraeniftyew,mc,,
miraeniftyfin,mc,,
miraeniftylow,mc,,
miraeniftymid,mc,,
miraeniftynext,mc,,
miraepsubank,mc,,
miraesilveret,mc,,
miraesp500,mc,,
miraetop20ew,mc,,
miraevalue50,mc,,
mirscap250,mc,,
mishtannfoods,mc,,
mishtanre,mc,,
misquitaengine,mc,,
mitconpp,mc,,
mitconre,mc,,
mitsure,mc,,
mittallifesty,mc,,
mkvenre,mc,,
mmfinancial,mc,,
mmfsre,mc,,
mo5ygsecetf,mc,,
mobavenueai,mc,,
mobiliseapp,mc,,
mobsequality,mc,,
mocapmkt,mc,,
modefence,mc,,
moderneng,mc,,
modisnavnirman,mc,,
modison,mc,,
mohealthcare,mc,,
moindmfg,mc,,
mointourism,mc,,
moldtektech,mc,,
molowvol,mc,,
mom50etf,mc,,
momidcap100,mc,,
momomentum,mc,,
mon500m50etf,mc,,
monasdaq100,mc,,
monasdaqq50,mc,,
monext50,mc,,
moneymasters,mc,,
monifty200mom,mc,,
monifty500,mc,,
monifty50ew,mc,,
moniftypse,mc,,
moniftyrealt,mc,,
moniftysmall,mc,,
monind,mc,,
monopharmacare,mc,,
morganventures,mc,,
mospbseenh,mc,,
motherson,mc,,
motilaloswala,mc,,
mpagro,mc,,
mpdl,mc,,
mpfsystems,mc,,
mrmanivenifo,mc,,
msafeequipment,mc,,
msmostshares,mc,,
mudrafinancial,mc,,
mufingreen,mc,,
mukatpipes,mc,,
mullerphip,mc,,
multilineinsurancebrokers,mc,,
muraere,mc,,
muzaliarts,mc,,
mymoneysec,mc,,
namanind,mc,,
narmadeshbrass,mc,,
nationalhighwa,mc,,
nationalperoxi,mc,,
naturalbiocon,mc,,
naturalcapre,mc,,
naturiteagro,mc,,
naviamc,mc,,
navinifty50,mc,,
nbfootwear,mc,,
ndmetal,mc,,
ndrautocompon,mc,,
neilindustries,mc,,
nelco,mc,,
netf,mc,,
netpix,mc,,
netweb,mc,,
newjaisatechno,mc,,
newlightind,mc,,
newtracfoods,mc,,
nexomere,mc,,
nfpsampoorna,mc,,
ngilre2,mc,,
niccoucofin,mc,,
nidhigranites,mc,,
nifty50,mc,,
niitmts,mc,,
nikitagreentec,mc,,
nilachalrefra,mc,,
nilainfra,mc,,
nilaspaces,mc,,
nipp1drate,mc,,
nippbsenxt30,mc,,
nippbsenxt50,mc,,
nippgoldbees,mc,,
nipphangseng,mc,,
nippinfrabees,mc,,
nippnifty100,mc,,
nippnifty1d,mc,,
nippnifty50,mc,,
nippnifty50sh,mc,,
nippnifty5yr,mc,,
nippnifty813,mc,,
nippniftyauto,mc,,
nippniftybank,mc,,
nippniftycpse,mc,,
nippniftydiv,mc,,
nippniftyind,mc,,
nippniftyit,mc,,
nippniftymid,mc,,
nippniftynext,mc,,
nippniftyphar,mc,,
nippniftypsu,mc,,
nippniftysdl,mc,,
nippsensex,mc,,
nippsilveretf,mc,,
nippvalue20,mc,,
nirbhaycolours,mc,,
nitincastings,mc,,
nivakafashions,mc,,
njassetmanage,mc,,
nmsglobal,mc,,
northernspirit,mc,,
northlinkfisc,mc,,
novateorlabs,mc,,
nsemidcap,mc,,
nsl,mc,,
nupurrec,mc,,
nurturewell,mc,,
nutechglobal,mc,,
nxtinfratrust,mc,,
octalcredit,mc,,
octavius,mc,,
oldbridgeasse,mc,,
olilre,mc,,
omegainttech,mc,,
omnitechengine,mc,,
onecapre,mc,,
onixsolar,mc,,
optiemusinfra,mc,,
orientalri,mc,,
orientpaper,mc,,
ortinglobal,mc,,
osiahyperreta,mc,,
packagingpolyfilms,mc,,
padamcotton,mc,,
palcometals,mc,,
panabytetech,mc,,
panelectroncis,mc,,
panhrsolution,mc,,
panoramastudio,mc,,
paramparadairy,mc,,
pardrugs,mc,,
parinenter,mc,,
parmaxpharma,mc,,
parnavsportsa,mc,,
parvatisweet,mc,,
patanjalifoods,mc,,
patelintegrate,mc,,
patelre,mc,,
pcblchemical,mc,,
pcl,mc,,
perfectinfrap,mc,,
pgimindiaasse,mc,,
phcapital,mc,,
piotexind,mc,,
piramalenter,mc,,
piramalfinance,mc,,
pkhventures,mc,,
pnbmetlife,mc,,
pngsrevadiamo,mc,,
poddarhousing,mc,,
polysilirrigat,mc,,
ports,mc,,
powergridinvit,mc,,
ppfasassetmgt,mc,,
praveg,mc,,
precot,mc,,
premiercap,mc,,
premierchennai,mc,,
premierroad,mc,,
pressmanadvt,mc,,
pressre,mc,,
pressuresentiv,mc,,
primecapital,mc,,
primeindustrie,mc,,
primochemicals,mc,,
prizorviztech,mc,,
proclbglobal,mc,,
progrexventure,mc,,
propsharetita,mc,,
pulsarintl,mc,,
puretropfruits,mc,,
purshottaminvt,mc,,
pvvinre,mc,,
qlinebiotech,mc,,
qnifty,mc,,
qualitypower,mc,,
quantgoldetf,mc,,
quantmoneyman,mc,,
quantumamc,mc,,
questcapital,mc,,
quintdigital,mc,,
raajmarginfra,mc,,
raconteur,mc,,
rajasthansecu,mc,,
rajkotinvest,mc,,
rajnandinifash,mc,,
rajnandinimeta,mc,,
rajnishretail,mc,,
rajputanainves,mc,,
rajputanastain,mc,,
rajshreepolypa,mc,,
ramsonsproject,mc,,
ranjeetmechat,mc,,
rattanindiaent,mc,,
ravileelagran,mc,,
raymond,mc,,
rdbinfra,mc,,
realestateoperations,mc,,
redtape,mc,,
reetechintl,mc,,
refexrenew,mc,,
regalre,mc,,
regantoent,mc,,
regis,mc,,
relgoldetf,mc,,
relianceindust,mc,,
reliclifescie,mc,,
religarenifty,mc,,
relniftybees,mc,,
resgen,mc,,
responseinfo,mc,,
restaurantbran,mc,,
